Answer to Q1,Answer to Q2,Answer to Q3,Answer to Q4,Answer to Q5,Respondents Age,Respondents Gender (optional),Respondents Occupation
5,5,7,Difference-honoring feminism,No,19,Male,Student
1,5,10,Difference-removing feminism,No,21,Female,Student
5,1,9,Difference-honoring feminism,No,22,Male,Student
7,1,9,Difference-removing feminism,No,20,Female,Desk Operation Supervisor
6,5,10,Difference-honoring feminism,No,19,Male,Student
7,6,9,Difference-denying feminism,No,22,Male,Student
2,3,7,Difference-honoring feminism,No,21,Male,Student 
6,1,7,Difference-honoring feminism,No,22,Male,Sales Person
2,1,9,Difference-honoring feminism,No,21,Male,IT helpdesk
7,2,3,Difference-honoring feminism,No,25,Male,Social Worker